,age,gender,year,visits,population
86,2,1,2006,49814,28361
87,2,1,2007,49077,28510
88,2,1,2008,50816,28592
89,2,1,2009,49637,29375
90,2,1,2010,52343,29333
91,2,1,2011,53314,30213
92,2,1,2012,55987,30948
93,2,1,2013,51309,30995
94,2,2,2006,57273,29504
95,2,2,2007,55866,29732
96,2,2,2008,57313,29799
97,2,2,2009,57293,30875
98,2,2,2010,60428,30815
99,2,2,2011,60111,32053
100,2,2,2012,63698,32765
101,2,2,2013,58616,32432
110,3,1,2006,42758,27899
111,3,1,2007,42145,28449
112,3,1,2008,41422,28715
113,3,1,2009,42021,28859
114,3,1,2010,41709,29645
115,3,1,2011,43578,29648
116,3,1,2012,44796,30441
117,3,1,2013,42861,31342
118,3,2,2006,47386,28894
119,3,2,2007,46962,29656
120,3,2,2008,47288,29980
121,3,2,2009,47372,30030
122,3,2,2010,47008,31161
123,3,2,2011,48731,31118
124,3,2,2012,50620,32369
125,3,2,2013,48280,33101
134,4,1,2006,36566,28420
135,4,1,2007,35206,28002
136,4,1,2008,35675,28673
137,4,1,2009,35686,28944
138,4,1,2010,35772,29067
139,4,1,2011,37955,29848
140,4,1,2012,38023,29868
141,4,1,2013,36397,30739
142,4,2,2006,39381,29576
143,4,2,2007,38654,29001
144,4,2,2008,39374,29878
145,4,2,2009,39664,30234
146,4,2,2010,38863,30281
147,4,2,2011,41071,31333
148,4,2,2012,41872,31389
149,4,2,2013,40451,32647
158,5,1,2006,33362,29479
159,5,1,2007,31504,28536
160,5,1,2008,31888,28212
161,5,1,2009,32140,28880
162,5,1,2010,31038,29151
163,5,1,2011,34720,29231
164,5,1,2012,34170,30073
165,5,1,2013,32869,30128
166,5,2,2006,36307,30953
167,5,2,2007,33765,29728
168,5,2,2008,33584,29149
169,5,2,2009,34948,30111
170,5,2,2010,34137,30518
171,5,2,2011,37243,30519
172,5,2,2012,36566,31598
173,5,2,2013,35939,31671
182,6,1,2006,30899,29573
183,6,1,2007,28766,29588
184,6,1,2008,28077,28691
185,6,1,2009,28425,28436
186,6,1,2010,28220,29061
187,6,1,2011,30805,29326
188,6,1,2012,30232,29439
189,6,1,2013,29755,30319
190,6,2,2006,32273,31138
191,6,2,2007,30575,31075
192,6,2,2008,29370,29914
193,6,2,2009,30248,29349
194,6,2,2010,29876,30289
195,6,2,2011,32826,30703
196,6,2,2012,31670,30681
197,6,2,2013,31670,31789
206,7,1,2006,27572,29358
207,7,1,2007,27130,29682
208,7,1,2008,26915,29773
209,7,1,2009,26734,28892
210,7,1,2010,26383,28598
211,7,1,2011,29083,29245
212,7,1,2012,28290,29516
213,7,1,2013,28392,29637
214,7,2,2006,28730,30705
215,7,2,2007,28550,31267
216,7,2,2008,27876,31258
217,7,2,2009,27575,30152
218,7,2,2010,27111,29573
219,7,2,2011,30639,30447
220,7,2,2012,29715,30917
221,7,2,2013,28891,30886
230,8,1,2006,26290,30040
231,8,1,2007,25443,29505
232,8,1,2008,26435,29833
233,8,1,2009,26605,29993
234,8,1,2010,25390,29081
235,8,1,2011,28118,28758
236,8,1,2012,27576,29406
237,8,1,2013,27878,29703
238,8,2,2006,26770,31732
239,8,2,2007,26005,30835
240,8,2,2008,27001,31440
241,8,2,2009,27456,31447
242,8,2,2010,26167,30352
243,8,2,2011,28669,29777
244,8,2,2012,28425,30604
245,8,2,2013,28151,31126
254,9,1,2006,26345,30635
255,9,1,2007,25260,30125
256,9,1,2008,26134,29666
257,9,1,2009,27076,30056
258,9,1,2010,26131,30166
259,9,1,2011,28337,29267
260,9,1,2012,27674,28910
261,9,1,2013,27877,29614
262,9,2,2006,27318,32495
263,9,2,2007,25472,31853
264,9,2,2008,25516,31025
265,9,2,2009,27781,31621
266,9,2,2010,26337,31684
267,9,2,2011,28534,30506
268,9,2,2012,27227,29925
269,9,2,2013,27956,30829
278,10,1,2006,26421,30358
279,10,1,2007,25960,30769
280,10,1,2008,25780,30297
281,10,1,2009,26824,29876
282,10,1,2010,26918,30251
283,10,1,2011,29481,30354
284,10,1,2012,28152,29451
285,10,1,2013,27935,29066
286,10,2,2006,27222,32204
287,10,2,2007,26449,32617
288,10,2,2008,25775,32067
289,10,2,2009,27282,31243
290,10,2,2010,27404,31845
291,10,2,2011,29876,31859
292,10,2,2012,28152,30657
293,10,2,2013,27829,30117
301,11,1,2006,25779,30271
302,11,1,2007,25664,30463
303,11,1,2008,26626,30958
304,11,1,2009,26483,30535
305,11,1,2010,27111,30064
306,11,1,2011,30014,30431
307,11,1,2012,29050,30533
308,11,1,2013,28114,29618
309,11,2,2006,26628,31994
310,11,2,2007,27193,32311
311,11,2,2008,27369,32778
312,11,2,2009,27309,32285
313,11,2,2010,27123,31461
314,11,2,2011,30284,32062
315,11,2,2012,29799,32039
316,11,2,2013,28309,30825
325,12,1,2006,21968,30303
326,12,1,2007,21640,30385
327,12,1,2008,22816,30624
328,12,1,2009,23480,31159
329,12,1,2010,26605,30733
330,12,1,2011,29093,30244
331,12,1,2012,29421,30572
332,12,1,2013,29462,30724
333,12,2,2006,22596,31649
334,12,2,2007,22574,32127
335,12,2,2008,23421,32518
336,12,2,2009,24771,32966
337,12,2,2010,27159,32488
338,12,2,2011,30290,31659
339,12,2,2012,30374,32271
340,12,2,2013,29345,32256
349,13,1,2006,24961,30374
350,13,1,2007,24258,30423
351,13,1,2008,25655,30545
352,13,1,2009,26670,30804
353,13,1,2010,30843,31338
354,13,1,2011,33006,30897
355,13,1,2012,32700,30397
356,13,1,2013,33819,30756
357,13,2,2006,23918,32497
358,13,2,2007,23547,31802
359,13,2,2008,24500,32279
360,13,2,2009,26159,32735
361,13,2,2010,29507,33186
362,13,2,2011,31292,32681
363,13,2,2012,30963,31838
364,13,2,2013,31262,32502
372,14,1,2006,29185,30927
373,14,1,2007,29601,30464
374,14,1,2008,29880,30578
375,14,1,2009,31187,30755
376,14,1,2010,36317,30983
377,14,1,2011,39842,31522
378,14,1,2012,38915,31080
379,14,1,2013,39607,30559
380,14,2,2006,25030,32743
381,14,2,2007,24748,32591
382,14,2,2008,24894,31969
383,14,2,2009,26896,32461
384,14,2,2010,30659,32975
385,14,2,2011,33238,33395
386,14,2,2012,32855,32901
387,14,2,2013,31940,32044
396,15,1,2006,35925,31045
397,15,1,2007,36062,31025
398,15,1,2008,37076,30605
399,15,1,2009,37316,30744
400,15,1,2010,43172,30915
401,15,1,2011,48163,31113
402,15,1,2012,48933,31682
403,15,1,2013,47626,31266
404,15,2,2006,25526,32617
405,15,2,2007,25968,32858
406,15,2,2008,26036,32747
407,15,2,2009,27308,32165
408,15,2,2010,31433,32702
409,15,2,2011,34956,33202
410,15,2,2012,35615,33590
411,15,2,2013,33306,33137
420,16,1,2006,41111,30139
421,16,1,2007,43864,31182
422,16,1,2008,44478,31173
423,16,1,2009,44215,30781
424,16,1,2010,46122,30945
425,16,1,2011,49932,31100
426,16,1,2012,50534,31335
427,16,1,2013,51501,31921
428,16,2,2006,25775,31807
429,16,2,2007,26258,32743
430,16,2,2008,27202,33037
431,16,2,2009,28643,32974
432,16,2,2010,28715,32486
433,16,2,2011,31566,33033
434,16,2,2012,32236,33438
435,16,2,2013,31826,33870
443,17,1,2006,42363,29348
444,17,1,2007,46993,30314
445,17,1,2008,49651,31378
446,17,1,2009,49198,31355
447,17,1,2010,50846,30933
448,17,1,2011,52875,31150
449,17,1,2012,54452,31264
450,17,1,2013,55206,31576
451,17,2,2006,26094,30961
452,17,2,2007,27883,31950
453,17,2,2008,29209,32962
454,17,2,2009,30916,33246
455,17,2,2010,31790,33450
456,17,2,2011,32939,33067
457,17,2,2012,33517,33341
458,17,2,2013,33430,33743
466,18,1,2006,49167,28031
467,18,1,2007,53173,29513
468,18,1,2008,58265,30457
469,18,1,2009,59484,31579
470,18,1,2010,60319,31562
471,18,1,2011,62750,31155
472,18,1,2012,63911,31359
473,18,1,2013,64221,31499
474,18,2,2006,29556,29205
475,18,2,2007,31880,31074
476,18,2,2008,35156,32117
477,18,2,2009,35859,33175
478,18,2,2010,36618,33629
479,18,2,2011,37957,33839
480,18,2,2012,38214,33369
481,18,2,2013,37772,33593
488,19,1,2006,51875,27178
489,19,1,2007,57459,28321
490,19,1,2008,61332,29821
491,19,1,2009,64031,30794
492,19,1,2010,65259,31929
493,19,1,2011,65532,31982
494,19,1,2012,65464,31522
495,19,1,2013,64195,31769
496,19,2,2006,30725,28844
497,19,2,2007,33340,29290
498,19,2,2008,36952,31272
499,19,2,2009,37314,32401
500,19,2,2010,37577,33481
501,19,2,2011,39353,33983
502,19,2,2012,38528,34090
503,19,2,2013,38076,33695
512,20,1,2006,55904,26852
513,20,1,2007,60121,27371
514,20,1,2008,65681,28630
515,20,1,2009,67383,30176
516,20,1,2010,69409,31166
517,20,1,2011,71246,32490
518,20,1,2012,69618,32401
519,20,1,2013,68219,32002
520,20,2,2006,31355,28111
521,20,2,2007,33415,29001
522,20,2,2008,36527,29609
523,20,2,2009,37473,31565
524,20,2,2010,38084,32626
525,20,2,2011,39047,33873
526,20,2,2012,39704,34358
527,20,2,2013,38637,34549
534,21,1,2006,58909,26716
535,21,1,2007,63416,27055
536,21,1,2008,66876,27757
537,21,1,2009,71440,29104
538,21,1,2010,71720,30711
539,21,1,2011,75777,31847
540,21,1,2012,76540,33083
541,21,1,2013,73589,32905
542,21,2,2006,31600,27636
543,21,2,2007,34710,28267
544,21,2,2008,36590,29364
545,21,2,2009,37632,30003
546,21,2,2010,37873,31900
547,21,2,2011,40180,33163
548,21,2,2012,41192,34366
549,21,2,2013,40537,34817
558,22,1,2006,62370,26555
559,22,1,2007,66437,27034
560,22,1,2008,70392,27533
561,22,1,2009,71628,28348
562,22,1,2010,75291,29765
563,22,1,2011,78620,31526
564,22,1,2012,81354,32603
565,22,1,2013,80948,33787
566,22,2,2006,32536,27785
567,22,2,2007,35182,27902
568,22,2,2008,37807,28819
569,22,2,2009,37796,29946
570,22,2,2010,38237,30359
571,22,2,2011,40366,32555
572,22,2,2012,42215,33914
573,22,2,2013,41694,34977
582,23,1,2006,66069,27509
583,23,1,2007,69343,27000
584,23,1,2008,73445,27619
585,23,1,2009,75058,28267
586,23,1,2010,77614,29126
587,23,1,2011,83331,30723
588,23,1,2012,85414,32440
589,23,1,2013,87275,33443
590,23,2,2006,33804,28328
591,23,2,2007,35702,28152
592,23,2,2008,37638,28566
593,23,2,2009,38834,29505
594,23,2,2010,38017,30522
595,23,2,2011,40849,31160
596,23,2,2012,42861,33452
597,23,2,2013,43754,34734
605,24,1,2006,72702,27788
606,24,1,2007,74895,27973
607,24,1,2008,79167,27717
608,24,1,2009,80967,28447
609,24,1,2010,82284,29144
610,24,1,2011,85696,30177
611,24,1,2012,90952,31716
612,24,1,2013,91767,33421
613,24,2,2006,34853,27728
614,24,2,2007,36753,28742
615,24,2,2008,37965,28961
616,24,2,2009,40049,29375
617,24,2,2010,40013,30195
618,24,2,2011,40876,31502
