marijuana,dayofweek,uber,eventdate,incidents
0,Sat,0,0,1
0,Sun,0,1,2
0,Mon,0,2,1
0,Tue,0,3,0
0,Wed,0,4,1
0,Thu,0,5,4
0,Fri,0,6,8
0,Sat,0,7,11
0,Sun,0,8,7
0,Mon,0,9,5
0,Tue,0,10,5
0,Wed,0,11,6
0,Thu,0,12,4
0,Fri,0,13,7
0,Sat,0,14,4
0,Sun,0,15,4
0,Mon,0,16,4
0,Tue,0,17,4
0,Wed,0,18,2
0,Thu,0,19,6
0,Fri,0,20,3
0,Sat,0,21,7
0,Sun,0,22,8
0,Mon,0,23,8
0,Tue,0,24,7
0,Wed,0,25,5
0,Thu,0,26,4
0,Fri,0,27,7
0,Sat,0,28,8
0,Sun,0,29,11
0,Mon,0,30,2
0,Tue,0,31,6
0,Wed,0,32,3
0,Thu,0,33,1
0,Fri,0,34,2
0,Sat,0,35,7
0,Sun,0,36,5
0,Mon,0,37,4
0,Tue,0,38,2
0,Wed,0,39,6
0,Thu,0,40,8
0,Fri,0,41,5
0,Sat,0,42,4
0,Sun,0,43,6
0,Mon,0,44,7
0,Tue,0,45,11
0,Wed,0,46,5
0,Thu,0,47,4
0,Fri,0,48,4
0,Sat,0,49,8
0,Sun,0,50,10
0,Mon,0,51,5
0,Tue,0,52,0
0,Wed,0,53,0
0,Thu,0,54,3
0,Fri,0,55,3
0,Sat,0,56,6
0,Sun,0,57,8
0,Mon,0,58,5
0,Tue,0,59,9
0,Wed,0,60,2
0,Thu,0,61,4
0,Fri,0,62,6
0,Sat,0,63,8
0,Sun,0,64,9
0,Mon,0,65,0
0,Tue,0,66,3
0,Wed,0,67,0
0,Thu,0,68,2
0,Fri,0,69,3
0,Sat,0,70,5
0,Sun,0,71,17
0,Mon,0,72,2
0,Tue,0,73,2
0,Wed,0,74,4
0,Thu,0,75,2
0,Fri,0,76,11
0,Sat,0,77,7
0,Sun,0,78,7
0,Mon,0,79,4
0,Tue,0,80,1
0,Wed,0,81,3
0,Thu,0,82,3
0,Fri,0,83,7
0,Sat,0,84,8
0,Sun,0,85,6
0,Mon,0,86,2
0,Tue,0,87,1
0,Wed,0,88,4
0,Thu,0,89,2
0,Fri,0,90,10
0,Sat,0,91,11
0,Sun,0,92,4
0,Mon,0,93,7
0,Tue,0,94,4
0,Wed,0,95,5
0,Thu,0,96,3
0,Fri,0,97,7
0,Sat,0,98,3
0,Sun,0,99,10
0,Mon,0,100,2
0,Tue,0,101,5
0,Wed,0,102,6
0,Thu,0,103,5
0,Fri,0,104,2
0,Sat,0,105,5
0,Sun,0,106,8
0,Mon,0,107,6
0,Tue,0,108,3
0,Wed,0,109,7
0,Thu,0,110,4
0,Fri,0,111,5
0,Sat,0,112,7
0,Sun,0,113,6
0,Mon,0,114,5
0,Tue,0,115,3
0,Wed,0,116,3
0,Thu,0,117,3
0,Fri,0,118,4
0,Sat,0,119,5
0,Sun,0,120,7
0,Mon,0,121,3
0,Tue,0,122,3
0,Wed,0,123,5
0,Thu,0,124,7
0,Fri,0,125,7
0,Sat,0,126,12
0,Sun,0,127,9
0,Mon,0,128,2
0,Tue,0,129,3
0,Wed,0,130,0
0,Thu,0,131,4
0,Fri,0,132,4
0,Sat,0,133,6
0,Sun,0,134,9
0,Mon,0,135,2
0,Tue,0,136,2
0,Wed,0,137,5
0,Thu,0,138,7
0,Fri,0,139,4
0,Sat,0,140,9
0,Sun,0,141,3
0,Mon,0,142,3
0,Tue,0,143,0
0,Wed,0,144,1
0,Thu,0,145,1
0,Fri,0,146,6
0,Sat,0,147,0
0,Sun,0,148,4
0,Mon,0,149,1
0,Tue,0,150,2
0,Wed,0,151,2
0,Thu,0,152,4
0,Fri,0,153,6
0,Sat,0,154,4
0,Sun,0,155,7
0,Mon,0,156,2
0,Tue,0,157,1
0,Wed,0,158,3
0,Thu,0,159,4
0,Fri,0,160,3
0,Sat,0,161,1
0,Sun,0,162,1
0,Mon,0,163,1
0,Tue,0,164,0
0,Wed,0,165,4
0,Thu,0,166,0
0,Fri,0,167,3
0,Sat,0,168,19
0,Sun,0,169,12
0,Mon,0,170,9
0,Tue,0,171,7
0,Wed,0,172,3
0,Thu,0,173,6
0,Fri,0,174,4
0,Sat,0,175,6
0,Sun,0,176,14
0,Mon,0,177,6
0,Tue,0,178,1
0,Wed,0,179,3
0,Thu,0,180,8
0,Fri,0,181,7
0,Sat,0,182,5
0,Sun,0,183,6
0,Mon,0,184,5
0,Tue,0,185,6
0,Wed,0,186,9
0,Thu,0,187,10
0,Fri,0,188,8
0,Sat,0,189,11
0,Sun,0,190,7
0,Mon,0,191,1
0,Tue,0,192,3
0,Wed,0,193,5
0,Thu,0,194,5
0,Fri,0,195,7
0,Sat,0,196,8
0,Sun,0,197,6
0,Mon,0,198,5
0,Tue,0,199,10
0,Wed,0,200,0
0,Thu,0,201,4
0,Fri,0,202,8
0,Sat,0,203,10
0,Sun,0,204,13
0,Mon,0,205,5
0,Tue,0,206,7
0,Wed,0,207,4
0,Thu,0,208,9
0,Fri,0,209,3
0,Sat,0,210,5
0,Sun,0,211,7
0,Mon,0,212,0
0,Tue,0,213,5
0,Wed,0,214,2
0,Thu,0,215,4
0,Fri,0,216,9
0,Sat,0,217,8
0,Sun,0,218,8
0,Mon,0,219,3
0,Tue,0,220,3
0,Wed,0,221,9
0,Thu,0,222,5
0,Fri,0,223,9
0,Sat,0,224,6
0,Sun,0,225,10
0,Mon,0,226,1
0,Tue,0,227,1
0,Wed,0,228,3
0,Thu,0,229,3
0,Fri,0,230,3
0,Sat,0,231,2
0,Sun,0,232,1
0,Mon,0,233,2
0,Tue,0,234,0
0,Wed,0,235,3
0,Thu,0,236,1
0,Fri,0,237,1
0,Sat,0,238,4
0,Sun,0,239,2
0,Mon,0,240,1
0,Tue,0,241,1
0,Wed,0,242,2
0,Thu,0,243,4
0,Fri,0,244,5
0,Sat,0,245,3
0,Sun,0,246,6
0,Mon,0,247,7
0,Tue,0,248,3
0,Wed,0,249,9
0,Thu,0,250,5
0,Fri,0,251,7
0,Sat,0,252,15
0,Sun,0,253,5
0,Mon,0,254,1
0,Tue,0,255,3
0,Wed,0,256,4
0,Thu,0,257,7
0,Fri,0,258,4
0,Sat,0,259,15
0,Sun,0,260,9
0,Mon,0,261,1
0,Tue,0,262,1
0,Wed,0,263,6
0,Thu,0,264,3
